song_ID,artist_ID,album_ID,song_name,song_length
1,28.0,33.0,'Til You Can't,3:44
2,56.0,,'Till I Collapse,
3,120.0,,20 Min,
4,158.0,,2055,
5,,18.0,25k jacket (feat. Lil Baby),2:00
6,5.0,,505,
7,113.0,4.0,AHHH HA,3:06
8,36.0,,Ain't Shit,
9,186.0,,Alien Blues,
10,94.0,,All Falls Down,
11,,62.0,All Falls Down (feat. Syleena Johnson),3:43
12,107.0,,All For Us,
13,88.0,,All Girls Are The Same,
14,169.0,,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),
15,49.0,,Bad Habits,
16,19.0,,Bam Bam (feat. Ed Sheeran),
17,69.0,8.0,Banking On Me,3:20
18,,4.0,Barbarian,2:29
19,,6.0,Bestie,1:51
20,134.0,,Better Days (NEIKED x Mae Muller x Polo G),
21,108.0,,Big Energy,
22,,9.0,Blick Blick,2:58
23,176.0,10.0,Blinding Lights,3:21
24,,4.0,Blocklist,2:06
25,74.0,,Bones,
26,92.0,,Bound 2,
27,39.0,,Boyfriend,
28,116.0,11.0,Broadway Girls (feat. Morgan Wallen),3:05
29,86.0,,Buy Dirt,
30,,12.0,Buy Dirt (feat. Luke Bryan),2:47
31,152.0,13.0,By Your Side,3:14
32,,38.0,Chasin' You,3:25
33,18.0,,Cigarette Daydreams,
34,88.0,,Cigarettes,
35,147.0,,Circles,
36,61.0,15.0,City of Gods,4:16
37,,16.0,Cold December,3:12
38,,17.0,Cold Heart (PNAU Remix),3:22
39,52.0,,Cold Heart - PNAU Remix,
40,89.0,,Come & Go (with Marshmello),
41,,4.0,Computer Murderers,2:19
42,132.0,,Cover Me Up,
43,173.0,,Daddy Issues,
44,155.0,,Dandelions,
45,161.0,,Dark Red,
46,150.0,,Desesperados,
47,176.0,,Die For You,
48,,4.0,Difference Is (feat. Summer Walker),3:13
49,,20.0,Do We Have A Problem?,3:27
50,103.0,64.0,Don't Play That,2:13
51,62.0,,Dreams - 2004 Remaster,
52,,22.0,Drip Too Hard,2:25
53,112.0,,Drip Too Hard (Lil Baby & Gunna),
54,9.0,23.0,DÁKITI,3:25
55,182.0,,EARFQUAKE,
56,,41.0,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),3:56
57,3.0,3.0,Easy On Me,3:44
58,16.0,,Electric Love,
59,75.0,,Enemy (with JID) - from the series Arcane League of Legends,
60,167.0,,Eventually,
61,,64.0,Evil Twins,1:55
62,,14.0,Fair Trade (feat. Travis Scott),4:51
63,45.0,,Fair Trade (with Travis Scott),
64,,27.0,Fall In Love,3:52
65,188.0,,Fancy Like,
66,92.0,,Father Stretch My Hands Pt. 1,
67,,4.0,Federal Nightmares,2:31
68,109.0,29.0,Fingers Crossed,2:55
69,93.0,,Flashing Lights,
70,48.0,26.0,Flower Shops (feat. Morgan Wallen),3:34
71,,55.0,For The Night (feat. Lil Baby & DaBaby),3:10
72,163.0,,Freaks,
73,181.0,,Freaky Deaky,
74,190.0,,Fuck Love (feat. Trippie Redd),
75,36.0,49.0,Get Into It (Yuh),2:18
76,90.0,40.0,Ghost,2:33
77,,14.0,Girls Want Girls (feat. Lil Baby),3:41
78,55.0,,Godzilla (feat. Juice WRLD),
79,,4.0,Golden Child,1:54
80,156.0,,Good Days,
81,,4.0,Grow Up/Keep It On Speaker,3:16
82,154.0,,HANDSOMER (Remix) (Feat. Ktlyn),
83,,31.0,HANDSOMER (Remix) [feat. Ktlyn],2:23
84,95.0,,HUMBLE.,
85,14.0,,Happier Than Ever,
86,,4.0,Headtaps,2:53
87,92.0,,Heartless,
88,66.0,21.0,Heat Waves,3:58
89,,32.0,Heavy,3:20
90,189.0,,Hope,
91,133.0,50.0,Hrs and Hrs,3:24
92,156.0,34.0,I Hate U,2:54
93,,35.0,I Hate YoungBoy,4:21
94,175.0,,I Love You So,
95,,36.0,"I'm Tired (From ""Euphoria"" An Original HBO Series)",3:07
96,107.0,,"I'm Tired - From ""Euphoria"" An HBO Original Series",
97,,37.0,INDUSTRY BABY,3:32
98,118.0,,INDUSTRY BABY (feat. Jack Harlow),
99,82.0,,Infinity,
100,73.0,,It Was A Good Day,
101,189.0,,Jocelyn Flores,
102,57.0,,Jugaste y Sufrí,
103,37.0,,Kiss Me More (feat. SZA),
104,,14.0,Knife Talk (feat. 21 Savage & Project Pat),4:02
105,42.0,,Knife Talk (with 21 Savage ft. Project Pat),
106,76.0,,LA CANCIÓN,
107,97.0,,LOVE. FEAT. ZACARI.,
108,46.0,,Levitating (feat. DaBaby),
109,22.0,,Light Switch,
110,,42.0,Lo Siento BB:/,3:27
111,166.0,,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),
112,87.0,,Looking Out for You,
113,54.0,,"Lose Yourself - From ""8 Mile"" Soundtrack",
114,63.0,71.0,Lost,3:54
115,104.0,,Love & War,
116,,4.0,Love Dior Banks,3:11
117,23.0,,Love Sosa,
118,88.0,,Lucid Dreams,
119,12.0,43.0,MAMIII,3:46
120,77.0,,MIDDLE CHILD,
121,50.0,,MIDDLE OF THE NIGHT,
122,117.0,,MONTERO (Call Me By Your Name),
123,145.0,,Martin & Gina,
124,,30.0,Maybach (feat. Future),3:19
125,136.0,44.0,Me or Sum (feat. Future & Lil Baby),3:45
126,164.0,,Meet Me At Our Spot,
127,180.0,,Miss The Rage (feat. Playboi Carti),
128,96.0,,Money Trees,
129,191.0,63.0,Monëy so big,2:40
130,106.0,,Mount Everest,
131,172.0,,Mr. Brightside,
132,100.0,,Mr. Rager,
133,182.0,,NEW MAGIC WAND,
134,81.0,45.0,Nail Tech,3:26
135,,49.0,Need To Know,3:30
136,36.0,,Need to Know,
137,122.0,,Neon Guts (feat. Pharrell Williams),
138,,56.0,Nevada,2:35
139,79.0,,Ni**as In Paris,
140,,39.0,No Guidance (feat. Drake),4:20
141,,4.0,No Interviews,2:59
142,,59.0,No Love,3:51
143,77.0,2.0,No Role Modelz,4:52
144,1.0,,Nobody Like U,
145,174.0,,Notion,
146,53.0,,Numb Little Bug,
147,151.0,,"OPEN A WINDOW (feat. Tyler, The Creator)",
148,149.0,,One Right Now (with The Weeknd),
149,59.0,,Out of My League,
150,,47.0,Over,3:25
151,70.0,18.0,P power (feat. Drake),3:13
152,58.0,48.0,Pepas,4:47
153,114.0,4.0,Petty Too (feat. Future),2:39
154,,4.0,Pissed Me Off,2:03
155,191.0,1.0,Poppin,2:47
156,92.0,,Praise God,
157,101.0,,Pursuit Of Happiness (Nightmare),
158,145.0,,RAPSTAR,
159,24.0,,Redbone,
160,189.0,,Revenge,
161,141.0,,Ric Flair Drip (with Metro Boomin),
162,185.0,,Riptide,
163,194.0,51.0,Rocking A Cardigan in Atlanta,1:36
164,68.0,52.0,Rumors (feat. Lil Durk),3:05
165,84.0,,SLOW DANCING IN THE DARK,
166,,53.0,STAY,2:21
167,171.0,,STAY (with Justin Bieber),
168,132.0,19.0,Sand In My Boots,3:22
169,176.0,,Save Your Tears,
170,177.0,,Save Your Tears (with Ariana Grande) (Remix),
171,183.0,,See You Again (feat. Kali Uchis),
172,,25.0,Sharing Locations (feat. Lil Baby & Lil Durk),2:41
173,78.0,,She Knows (feat. Amber Coffman & Cults),
174,49.0,5.0,Shivers,3:27
175,144.0,,Shoota (feat. Lil Uzi Vert),
176,,4.0,Shootout @ My Crib,2:33
177,143.0,,Sky,
178,,57.0,Sleazy Flow,1:52
179,140.0,,Smells Like Teen Spirit,
180,15.0,,Smokin Out The Window,
181,,4.0,Smoking & Thinking,2:27
182,173.0,,Softcore,
183,140.0,46.0,Something In The Way,3:52
184,,28.0,Sometimes,4:19
185,11.0,,Space Song,
186,30.0,,Sparks,
187,119.0,,Star Shopping,
188,,4.0,Started From,2:01
189,40.0,,Still D.R.E.,
190,36.0,,Streets,
191,148.0,,Sunflower - Spider-Man: Into the Spider-Verse,
192,104.0,58.0,Super Gremlin,3:20
193,,24.0,Surface Pressure,3:22
194,83.0,,"Surface Pressure - From ""Encanto""/Soundtrack Version",
195,173.0,,Sweater Weather,
196,131.0,61.0,Sweetest Pie,3:21
197,117.0,,THATS WHAT I WANT,
198,27.0,,Tell Em,
199,26.0,,Tennessee Whiskey,
200,160.0,24.0,The Family Madrigal,4:17
201,176.0,,The Hills,
202,167.0,,The Less I Know The Better,
203,178.0,,The Motto,
204,123.0,,The Night We Met,
205,54.0,,The Real Slim Shady,
206,125.0,,The Spins,
207,121.0,,The Way Life Goes (feat. Oh Wonder),
208,,60.0,Thinking With My Dick (feat. Juicy J),2:45
209,99.0,,Thinking with My Dick (feat. Juicy J),
210,4.0,,Tom's Diner,
211,,7.0,Usain Boo,3:06
212,,68.0,Vete,3:12
213,187.0,,Wait a Minute!,
214,159.0,,Waiting On A Miracle,
215,44.0,54.0,Wants and Needs (feat. Lil Baby),3:12
216,,64.0,War,2:40
217,132.0,19.0,Wasted On You,2:58
218,72.0,,Watermelon Sugar,
219,,14.0,Way 2 Sexy (feat. Future & Young Thug),4:17
220,43.0,,Way 2 Sexy (with Future & Young Thug),
221,21.0,24.0,We Don't Talk About Bruno,3:36
222,77.0,,Wet Dreamz,
223,35.0,24.0,What Else Can I Do?,2:59
224,115.0,4.0,What Happened To Virgil (feat. Gunna),3:01
225,132.0,38.0,Whiskey Glasses,3:54
226,137.0,65.0,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",4:39
227,,66.0,Wild as Her,3:21
228,88.0,,Wishing Well,
229,54.0,,Without Me,
230,36.0,,Woman,
231,77.0,,Work Out,
232,,67.0,Worst Day,3:04
233,120.0,,XO Tour Llif3,
234,192.0,,YKWIM?,
235,111.0,,Yes Indeed,
236,8.0,69.0,Yonaguni,3:26
237,38.0,,You Right,
238,184.0,,Young,
239,65.0,70.0,abcdefu,2:48
240,127.0,,ay! (feat. Lil Wayne),
241,142.0,,deja vu,
242,142.0,,drivers license,
243,7.0,,family ties (with Kendrick Lamar),
244,142.0,,favorite crime,
245,142.0,,good 4 u,
246,179.0,,goosebumps,
247,17.0,,love nwantiti (ah ah ah),
248,126.0,,maybe (feat. Bring Me The Horizon),
249,128.0,,my ex's best friend (with blackbear),
250,71.0,18.0,pushin P (feat. Young Thug),2:16
251,168.0,,she's all i wanna be,
252,91.0,,telepatía,
253,80.0,,this is what falling in love feels like,
254,6.0,,trademark usa,
255,142.0,,traitor,
