artist_ID,artist_name
1,"4*TOWN (From Disney and Pixar’s Turning Red), Jordan Fisher, Finneas O'Connell, Josh Levi, Topher Ngo, Grayson Villanueva"
2,42 Dugg
3,Adele
4,"AnnenMayKantereit, Giant Rooks"
5,Arctic Monkeys
6,Baby Keem
7,"Baby Keem, Kendrick Lamar"
8,Bad Bunny
9,"Bad Bunny, Jhay Cortez"
10,Bailey Zimmerman
11,Beach House
12,"Becky G, KAROL G"
13,Becky G.
14,Billie Eilish
15,"Bruno Mars, Anderson .Paak, Silk Sonic"
16,BØRNS
17,CKay
18,Cage The Elephant
19,"Camila Cabello, Ed Sheeran"
20,Carolina Gaitán - La Gaita
21,"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz, Encanto - Cast"
22,Charlie Puth
23,Chief Keef
24,Childish Gambino
25,Chris Brown
26,Chris Stapleton
27,"Cochise, $NOT"
28,Cody Johnson
29,Coi Leray
30,Coldplay
31,Corey Kent
32,DJ Khaled
33,DaBaby
34,Diane Guerrero
35,"Diane Guerrero, Stephanie Beatriz"
36,Doja Cat
37,"Doja Cat, SZA"
38,"Doja Cat, The Weeknd"
39,Dove Cameron
40,"Dr. Dre, Snoop Dogg"
41,Drake
42,"Drake, 21 Savage, Project Pat"
43,"Drake, Future, Young Thug"
44,"Drake, Lil Baby"
45,"Drake, Travis Scott"
46,"Dua Lipa, DaBaby"
47,ERNEST
48,"ERNEST, Morgan Wallen"
49,Ed Sheeran
50,Elley Duhé
51,Elton John
52,"Elton John, Dua Lipa, PNAU"
53,Em Beihold
54,Eminem
55,"Eminem, Juice WRLD"
56,"Eminem, Nate Dogg"
57,"Eslabon Armado, DannyLux"
58,Farruko
59,Fitz and The Tantrums
60,Fivio Foreign
61,"Fivio Foreign, Kanye West, Alicia Keys"
62,Fleetwood Mac
63,Frank Ocean
64,Future
65,GAYLE
66,Glass Animals
67,Gucci Mane
68,"Gucci Mane, Lil Durk"
69,Gunna
70,"Gunna, Drake"
71,"Gunna, Future, Young Thug"
72,Harry Styles
73,Ice Cube
74,Imagine Dragons
75,"Imagine Dragons, JID, Arcane, League of Legends"
76,"J Balvin, Bad Bunny"
77,J. Cole
78,"J. Cole, Cults, Amber Coffman"
79,"JAY-Z, Kanye West"
80,JVKE
81,Jack Harlow
82,Jaymes Young
83,Jessica Darrow
84,Joji
85,Jordan Davis
86,"Jordan Davis, Luke Bryan"
87,Joy Again
88,Juice WRLD
89,"Juice WRLD, Marshmello"
90,Justin Bieber
91,Kali Uchis
92,Kanye West
93,"Kanye West, Dwele"
94,"Kanye West, Syleena Johnson"
95,Kendrick Lamar
96,"Kendrick Lamar, Jay Rock"
97,"Kendrick Lamar, Zacari"
98,Kevin Gates
99,"Kevin Gates, Juicy J"
100,Kid Cudi
101,"Kid Cudi, MGMT, Ratatat"
102,King Von
103,"King Von, 21 Savage"
104,Kodak Black
105,LIL SHORDIE SCOTT
106,Labrinth
107,"Labrinth, Zendaya"
108,Latto
109,Lauren Spencer-Smith
110,Lil Baby
111,"Lil Baby, Drake"
112,"Lil Baby, Gunna"
113,Lil Durk
114,"Lil Durk, Future"
115,"Lil Durk, Gunna"
116,"Lil Durk, Morgan Wallen"
117,Lil Nas X
118,"Lil Nas X, Jack Harlow"
119,Lil Peep
120,Lil Uzi Vert
121,"Lil Uzi Vert, Oh Wonder"
122,"Lil Uzi Vert, Pharrell Williams"
123,Lord Huron
124,Lucky Daye
125,Mac Miller
126,"Machine Gun Kelly, Bring Me The Horizon"
127,"Machine Gun Kelly, Lil Wayne"
128,"Machine Gun Kelly, blackbear"
129,Meek Mill
130,Megan Thee Stallion
131,"Megan Thee Stallion, Dua Lipa"
132,Morgan Wallen
133,Muni Long
134,"NEIKED, Mae Muller, Polo G"
135,Nardo Wick
136,"Nardo Wick, Future, Lil Baby"
137,"Nardo Wick, G Herbo, Lil Durk, 21 Savage"
138,Nicki Minaj
139,Nigo
140,Nirvana
141,"Offset, Metro Boomin"
142,Olivia Rodrigo
143,Playboi Carti
144,"Playboi Carti, Lil Uzi Vert"
145,Polo G
146,Pop Smoke
147,Post Malone
148,"Post Malone, Swae Lee"
149,"Post Malone, The Weeknd"
150,"Rauw Alejandro, Chencho Corleone"
151,"Rex Orange County, Tyler, The Creator"
152,Rod Wave
153,Russ
154,"Russ, Ktlyn"
155,Ruth B.
156,SZA
157,SleazyWorld Go
158,Sleepy Hallow
159,Stephanie Beatriz
160,"Stephanie Beatriz, Olga Merediz, Encanto - Cast"
161,Steve Lacy
162,Summer Walker
163,Surf Curse
164,"THE ANXIETY, WILLOW, Tyler Cole"
165,Tainy
166,"Tainy, Bad Bunny, Julieta Venegas"
167,Tame Impala
168,Tate McRae
169,Taylor Swift
170,The Kid LAROI
171,"The Kid LAROI, Justin Bieber"
172,The Killers
173,The Neighbourhood
174,The Rare Occasions
175,The Walters
176,The Weeknd
177,"The Weeknd, Ariana Grande"
178,"Tiësto, Ava Max"
179,Travis Scott
180,"Trippie Redd, Playboi Carti"
181,"Tyga, Doja Cat"
182,"Tyler, The Creator"
183,"Tyler, The Creator, Kali Uchis"
184,Vacations
185,Vance Joy
186,Vundabar
187,WILLOW
188,Walker Hayes
189,XXXTENTACION
190,"XXXTENTACION, Trippie Redd"
191,Yeat
192,Yot Club
193,YoungBoy Never Broke Again
194,lil Shordie Scott
